Title,Year,Id
Arthur,1981,3679
Arthur,2011,3048
Arthur and the Invisibles,,770
Arthur and the Revenge of Maltazard,,777
Arthur Christmas,,195
Ask Me Anything,,1703
Assassin's Creed,2016,1532
Assassination Nation,2018,2417
Assault on Precinct 13,1976,3942
Asterix & Obelix: Mission Cleopatra,2002,2660
Asterix and Cleopatra,1968,4378
Asterix and Obelix vs. Caesar,1999,2659
Astérix and Obélix: God Save Britannia,2012,3908
Asterix and the Vikings,,1690
Asterix at the Olympic Games,2008,2738
Asterix in Britain,1986,2655
Asterix: The Secret of the Magic Potion,2018,2662
Asteroid City,2023,4128
Astro Boy,2009,380
At the End of the Tunnel,2016,2596
Atlantis: Milo's Return,,126
Atlantis: The Lost Empire,,115
Atlas Shrugged II: The Strike,2012,4127
Atlas Shrugged: Who Is John Galt?,2014,2535
Atomic Blonde,,1626
Austin Powers in Goldmember,,615
Austin Powers: International Man of Mystery,,466
Austin Powers: The Spy Who Shagged Me,,604
Ava,2020,3237
Avatar,,452
Avatar: The Way of Water,2022,3948
Avengers Confidential: Black Widow & Punisher,2014,2732
Avengers: Age of Ultron,,399
Avengers: Endgame,2019,1889
Avengers: Infinity War,,1810
Babe,1995,3737
Babe: Pig in the City,1998,3738
Baby Driver,,1606
Baby Geniuses,1999,3511
Baby's Day Out,1994,3591
Babylon,2022,3872
Bachelor Party,1984,2488
Back to School,1986,2455
Back to the Future,,286
Back to the Future Part II,,287
Back to the Future Part III,,291
Back to the Outback,2021,3159
Bad Boys,1995,1891
Bad Boys for Life,2020,4472
Bad Boys II,2003,1953
Bad Girls,1994,4050
Bad Influence,1990,4024
Bad Moms,,691
Bad News Bears,2005,3312
Bad Santa,2003,3161
Bad Santa 2,2016,3162
Bad Taste,1987,4289
Bad Teacher,,1543
Badlands,1973,3233
Baki Hanma VS Kengan Ashura,2024,4476
Bakumatsu no Spasibo,1997,3681
Balls of Fury,2007,2550
Balto,1995,3566
Balto III: Wings of Change,2004,3568
Balto: Wolf Quest,2001,3567
Bambi,,90
Bambi II,,133
Bananas,1971,3703
Barb Wire,1996,2509
Barbarella,1968,2471
Barbarian,2022,3778
Barbie,2023,4169
Barbie and the Secret Door,,176
Barbie in Princess Power,,191
Barbie of Swan Lake,2003,3912
Barbie Video Game Hero,,1475
Barbie: Mariposa and the Fairy Princess,,187
Barbie: Mermaid Power,2022,3856
Barbie: Princess Charm School,2011,4108
Barbie: Spy Squad,,170
Barbie: Star Light Adventure,,365
Barbie: The Pearl Princess,,178
Barefoot Gen,1983,2801
Barely Lethal,2015,3995
Barnyard,2006,3729
Barry Lyndon,1975,3043
Basic Instinct,1992,1761
Batman & Mr. Freeze: SubZero,1998,2979
Batman & Robin,,1704
Batman,1989,3898
Batman and Harley Quinn,,1589
Batman and Superman: Battle of the Super Sons,2022,3746
Batman Begins,,706
Batman Beyond: Return of the Joker,,46
Batman Forever,,1711
Batman Returns,,1725
Batman Unlimited: Animal Instincts,,1657
Batman Unlimited: Monster Mayhem,,1656
Batman v Superman: Dawn of Justice,,453
Batman vs Teenage Mutant Ninja Turtles,2019,2187
Batman vs. Robin,,219
Batman: Assault on Arkham,,156
Batman: Bad Blood,,81
Batman: Gotham by Gaslight,,1743
Batman: Gotham Knight,,47
Batman: Mask of the Phantasm,,1629
Batman: Return of the Caped Crusaders,,698
Batman: Soul of the Dragon,2021,2433
Batman: The Dark Knight Returns Part 1,,154
Batman: The Dark Knight Returns Part 2,,155
Batman: The Doom That Came to Gotham,2023,3947
Batman: The Killing Joke,,214
"Batman: The Long Halloween, Part One",2021,2816
"Batman: The Long Halloween, Part Two",2021,2895
Batman: Under the Red Hood,,106
Batman: Year One,,104
Battle of the Sexes,2017,1688
Battle Royale,2000,2469
Bayonetta: Bloody Fate,,1649
Baywatch,2017,1590
Be Cool,2005,3665
Beau Is Afraid,2023,4083
Beautiful Girls,,531
Beauty and the Beast,,31
Beauty and the Beast,2017,1552
Beauty and the Beast: The Enchanted Christmas,1997,2039
Beauty Water,2020,2863
Beavis and Butt-Head Do America,1996,3299
Beavis and Butt-Head Do the Universe,2022,3585
Bedknobs and Broomsticks,1971,2701
Bee Movie,,107
Beerfest,,1561
Beetlejuice,,694
Before I Fall,2017,3913
Before Sunset,2004,3240
Behaving Badly,,1544
Belladonna of Sadness,1973,3510
Belle,2021,3346
Ben 10 vs. the Universe: The Movie,2020,3986
Ben 10: Secret of the Omnitrix,2007,2832
Ben-Hur,1959,2077
Ben-Hur,2016,726
Benedetta,2021,3177
Beowulf,,1802
Berserk: The Golden Age Arc I - The Egg of the King,2012,3257
Berserk: The Golden Age Arc II - The Battle for Doldrey,2012,3258
Berserk: The Golden Age Arc III - The Advent,2013,3259
Better Nate Than Ever,2022,3432
Better Watch Out,2016,3580
Bewitched,2005,4151
Beyond the Boundary Movie: I'll Be Here - Kako-hen,2015,2674
Beyond the Boundary Movie: I'll Be Here - Mirai-hen,2015,2673
Beyond the Valley of the Dolls,,1731
Bickford Shmeckler's Cool Ideas,2006,2518
Big Bad Mama,1974,3378
Big City Greens the Movie: Spacecation,2024,4478
Big Daddy,1999,1903
Big Fish,2003,3131
Big Hero 6,2014,17
Big Momma's House,2000,2110
Big Momma's House 2,2006,2108
Big Top Pee-wee,1988,3455
Big Top Scooby-Doo!,,408
Big Trouble in Little China,,1772
Bigfoot Family,2020,2780
Bikini Model Academy,2015,2117
Bill & Ted Face the Music,2020,2144
Bill & Ted's Bogus Journey,1991,2142
Bill & Ted's Excellent Adventure,1989,2143
Billy & Mandy's Big Boogey Adventure,2007,2974
Billy Lynn's Long Halftime Walk,2016,2629
Billy Madison,,1685
Bio Hunter,1995,4369
Bird Box,2018,2030
Birdemic: Shock and Terror,2010,3368
Birdman or (The Unexpected Virtue of Ignorance),,563
Birds of Prey: And the Fantabulous Emancipation of One Harley Quinn,2020,1979
Bitter Moon,1992,4073
Black Adam,2022,3792
Black Clover: Sword of the Wizard King,2023,4087
Black Hawk Down,,562
Black Jack: The Movie,1996,4381
Black Knight,2001,4274
Black Magic M-66,1987,4423
Black Panther,,1755
Black Panther: Wakanda Forever,2022,3875
Black Rock Shooter,,610
Black Sheep,1996,2528
Black Snake Moan,2006,2016
Black Swan,,468
Black Widow,2021,2866
Blackfox,2019,2396
Blacklight,2022,3578
Blade,,824
Blade II,,830
Blade Runner,,1762
Blade Runner 2049,,1697
Blade: Trinity,,1476
Blame It on Rio,1984,3821
Blazing Saddles,1974,1849
Bleach the Movie 2: The Diamond Dust Rebellion,2007,3383
Bleach the Movie: Hell Verse,2010,3385
"Bleach: Fade to Black, I Call Your Name",2008,3384
Bleach: Memories of Nobody,2006,3381
Bling,,99
Blonde,2022,3727
Blood-C: The Last Dark,,1651
Blood: The Last Vampire,2009,2033
BloodRayne,2005,2008
BloodRayne: Deliverance,2007,2026
BloodRayne: The Third Reich,2011,2025
Bloodshot,2020,1982
Blue Beetle,2023,4202
Blue Exorcist: The Movie,,1654
Blue Valentine,2010,3420
Blue's Big City Adventure,2022,3819
Bodacious Space Pirates: Abyss Hyperspace,,609
Bodies Bodies Bodies,2022,3751
Body Snatchers,1993,2109
Bohemian Rhapsody,2018,1830
Bolt,,70
Bombshell,2019,3211
"Bon Voyage, Charlie Brown",1980,3332
Bones and All,2022,3886
Bonnie and Clyde,1967,3301
Boogie,2009,2663
Boogie Nights,,1778
Boogie Woogie,2009,3984
Booksmart,2019,3210
Borat,2006,2092
Born on the Fourth of July,1989,4052
Bottle Shock,,560
Bounty Killer,2013,2900
Boy and the World,,443
Boy Kills World,2023,4474
Boys Don't Cry,1999,4077
Brave,,42
Braveheart,,476
Brazil,1985,1723
Breakfast at Tiffany's,1961,3283
Breathless,,558
Breathless,1983,3839
Brick,2005,3238
Bride of Chucky,1998,3405
Bride of Re-Animator,1990,4097
Bridge of Spies,2015,3927
Bridge to Terabithia,2007,2989
Bridget Jones's Baby,2016,2436
Bridget Jones's Diary,2001,2435
Bright,,1717
Bright: Samurai Soul,2021,3031
Bring It On,2000,2634
Bring It On: Again,2004,2864
Bring It On: Worldwide #Cheersmack,2017,2633
Brother Bear,,116
Brother Bear 2,,131
Brothers,,569
Bruce Almighty,2003,2999
Bubble,2022,3519
Bubble Boy,2001,2505
Buffy the Vampire Slayer,1992,2628
Bullet to the Head,2012,3372
Bullet Train,2022,3742
Bulletproof Monk,2003,4093
Bully,2001,4049
Bumblebee,2018,1835
Bungo Stray Dogs: Dead Apple,2018,2800
Burlesque,2010,3187
Butch Cassidy and the Sundance Kid,1969,2603
By the Sea,2016,3222
Cabaret,1972,2606
Cabin Fever,2002,2546
Caddyshack,,526
Cadillac Man,1990,4021
Caligula,1979,3400
Call Me by Your Name,2017,3223
Camp Rock,2008,3164
Camp Rock 2: The Final Jam,2010,3165
Candyman,1992,3086
Candyman,2021,3017
Captain America,1990,812
Captain America: Civil War,,326
Captain America: The First Avenger,,285
Captain America: The Winter Soldier,,335
Captain Marvel,2019,1848
Captain Underpants: The First Epic Movie,,1599
Capture the Flag,,159
Cardcaptor Sakura: The Movie,1999,2677
Cardcaptor Sakura: The Sealed Card,2000,2680
Care Bears Movie II: A New Generation,1986,3330
Career Opportunities,1991,4433
Carrie,1976,572
Carrie,2002,3726
Carrie,2013,573
Cars,,30
Cars 2,,69
Cars 3,,1622
Carter,2022,3659
Casablanca,,1499
Cashback,,523
Casino,1995,3139
Casper,1995,3732
Cast Away,2000,2424
Castle in the Sky,,253
Catch Me If You Can,2002,2457
Cats & Dogs 3: Paws Unite,2020,2137
Cats,2019,1970
Cats Don't Dance,1997,1987
Catwoman,2004,1933
Catwoman: Hunted,2022,3266
Causeway,2022,3761
CBGB,,538
Central Intelligence,,425
Challengers,2024,4473
Chaos Walking,2021,2750
Chappie,2015,2510
Charlie's Angels,2000,477
Charlie's Angels,2019,1964
Charlie's Angels: Full Throttle,2003,3996
Charlotte's Web,1973,4249
Charlotte's Web,2006,4250
Charming,2018,2859
Chasing Amy,1997,4072
Cheap Thrills,2013,736
Cheerleader Camp,1988,2627
Cherry,2021,2434
Cherry 2000,1987,1768
Chicken Little,,89
Chicken Run,,77
Chicken Run: Dawn of the Nugget,2023,4351
Chickenhare and the Hamster of Darkness,2022,3572
Child of Kamiari Month,2021,3276
Child's Play,1988,2570
Child's Play,2019,3424
Child's Play 2,1990,3398
Child's Play 3,1991,3399
Children of Men,2006,2134
Children of the Corn,1984,3016
Children of the Sea,2019,2592
Children Who Chase Lost Voices,2011,2736
Chinatown,,475
Chip 'n Dale: Rescue Rangers,2022,3553
Chloe,2009,3414
Christine,1983,720
Christmas Bloody Christmas,2022,3822
Christopher Robin,,1822
Chuck Steel: Night of the Trampires,2018,3641
Cinderella,,71
Cinderella,2015,243
Cinderella,2021,2918
Cinderella II: Dreams Come True,2001,4193
Cinderella III: A Twist in Time,,140
Citizen Kane,,829
Citizen Toxie: The Toxic Avenger IV,2000,2778
City Hunter,1993,3468
City Hunter: Shinjuku Private Eyes,2019,2741
City Lights,1931,2619
City of Ember,,424
City of God,2002,3148
City Slickers,1991,3866
Civil War,2024,4460
Clash of the Titans,1981,2706
Clash of the Titans,2010,2775
Class of 1984,1982,4284
Class of Nuke 'Em High,1986,4404
"Class of Nuke 'Em High Part 3: The Good, the Bad and the Subhumanoid",1994,4407
Class of Nuke 'Em High Part II: Subhumanoid Meltdown,1991,4406
Cleopatra,1934,2682
Cleopatra,1963,2661
Cleopatra,1970,1687
Clerks,,1584
Clerks II,2006,3816
Clerks III,2022,3818
Click,2006,2093
Clifford the Big Red Dog,2021,3104
Clockstoppers,2002,3723
Close Encounters of the Third Kind,1977,2157
Close-Up,1990,3264
Closer,,568
Cloud Atlas,2012,3049
Cloudy with a Chance of Meatballs,,160
Cloudy with a Chance of Meatballs 2,,161
Cloverfield,,1734
Clue,1985,302
Clueless,,1556
Cocaine Bear,2023,3939
Coco,,1742
CODA,2021,3439
Code Geass: Lelouch of the Re;Surrection,2019,2061
Code Geass: Lelouch of the Rebellion I - Initiation,2017,2728
Code Geass: Lelouch of the Rebellion II - Transgression,2018,2825
Code Geass: Lelouch of the Rebellion III - Glorification,2018,2729
Collateral,2004,3185
Collide,,754
Colorful,2010,3256
Coming 2 America,2021,2689
Coming to America,1988,2449
Commando,1985,2458
Con Air,1997,2696
Conan the Barbarian,1982,2697
Conan the Destroyer,,1542
Coneheads,1993,2094
Confessions of a Teenage Drama Queen,2004,3198
Cool as Ice,1991,2580
Cool Runnings,,1545
Cool World,1992,3583
Coonskin,1975,1991
Coraline,2009,3724
Corpse Bride,,711
Cosmic Sin,2021,2391
Cosmoball,2020,2543
Cowboy Bebop: The Movie,2001,3573
Cowboys & Aliens,2011,2734
Coyote Ugly,2000,3172
CQ,2001,2861
Craig Before the Creek,2023,4273
Crank,2006,2015
Crash,,1779
Crayon Shin-chan: Fast Asleep! Dreaming World Big Assault!,2016,3293
Crayon Shin-chan: Shrouded in Mystery! The Flowers of Tenkasu Academy,2021,3650
Crazy Lake,2016,3803
Crazy Rich Asians,2018,3989
"Crazy, Stupid, Love.",2011,2560
Creed,2015,3938
Creed II,2018,3937
Creed III,2023,3935
Creepshow 2,1987,4314
Crimes of the Future,2022,3784
Critters,1986,4303
Critters 2: The Main Course,1988,4304
"Crouching Tiger, Hidden Dragon",2000,3248
Cruel Intentions,1999,4005
Cruel Intentions 2,2000,4016
Cruel Intentions 3,2004,4018
Cruella,2021,2753
Crusher Joe: The Movie,,1605
Cry Macho,2021,3153
Cult of Chucky,2017,3403
Curious George,2006,3828
Curse of the Puppet Master,1998,3453
D2: The Mighty Ducks,,1565
D3: The Mighty Ducks,,1564
Da 5 Bloods,2020,3422
Daddy's Home 2,,1740
Damien: Omen II,1978,4081
Damn Yankees,1958,2562
Damsel,2024,4336
Dances with Wolves,1990,4446
Danger: Diabolik,1968,4366
Dante's Peak,1997,4188
Daphne & Velma,2018,3194
Daredevil,2003,814
Dark Angel,1990,3954
Dark Phoenix,2019,1899
Date a Live Movie: Mayuri Judgement,2015,3874
Date Movie,2006,2497
Daughter of the Wolf,2019,2952
Dawn of the Dead,1978,3382
Dawn of the Dead,2004,1640
Day of the Warrior,1996,2118
Day Shift,2022,3843
Dazed and Confused,1993,1803
DC League of Super-Pets,2022,3664
DC Super Hero Girls: Hero of the Year,2016,2910
DC Super Hero Girls: Intergalactic Games,2017,2914
DC Super Hero Girls: Legends of Atlantis,2018,2913
Dead Alive,1992,4436
Dead Leaves,2004,3073
Dead Poets Society,1989,2456
Dead Silence,2007,4414
Dead Space: Downfall,2008,2524
Deadpool,,474
Deadpool 2,,1811
Deadpool 2: Super Duper Cut,2018,3539
Dear Evan Hansen,2021,3070
Death at a Funeral,2010,4276
Death Becomes Her,1992,4447
Death in Brunswick,1990,3905
Death Note,,1578
Death Note Relight - Visions of a God,2007,2802
Death Note Relight 2: L's Successors,,1668
Death on the Nile,2022,3431
Death Proof,2007,2593
Death Race,2008,1770
Death Race 2,2010,2566
Death Race 2000,1975,2097
Death Race 2050,,776
Death Race 4: Beyond Anarchy,2018,1858
Death Race: Inferno,2013,2567
Deathstalker,1983,3126
Deathstalker II,1987,3127
Deathstroke: Knights & Dragons - The Movie,2020,4379
Deep Impact,1998,3389
Demolition Man,1993,2111
Demon City Shinjuku,1988,2714
Demon Slayer: Mugen Train,2020,2812
Demons,1985,4333
Den of Thieves,2018,2479
Derailed,2005,4035
Despicable Me,,163
Despicable Me 2,2013,2179
Despicable Me 3,,1603
Detective Conan: Countdown to Heaven,,359
Detective Conan: Private Eye in the Distant Sea,,310
Detective Conan: Strategy Above the Depths,2005,2735
Detective Conan: Sunflowers of Inferno,,1524
Detective Conan: The Bride of Halloween,2022,3797
Detective Conan: The Fist of Blue Sapphire,2019,2805
Detective Conan: The Last Wizard of the Century,,1617
Detective Conan: The Scarlet Bullet,2021,3103
Detective Conan: The Sniper from Another Dimension,,1525
Detective Conan: The Time Bombed Skyscraper,,1592
Deuce Bigalow: Male Gigolo,1999,4009
Diamonds Are Forever,1971,1844
Diary of a Wimpy Kid,2010,2854
Diary of a Wimpy Kid,2021,3150
Diary of a Wimpy Kid: Dog Days,2012,2851
Diary of a Wimpy Kid: Rodrick Rules,2011,2852
Diary of a Wimpy Kid: The Long Haul,,1710
Dick Tracy,1990,4039
Die Hard,,473
Die Hard 2,1990,1932
Die Hard with a Vengeance,1995,2083
Digimon Adventure tri. Part 1: Reunion,2015,2051
Digimon Adventure tri. Part 2: Determination,2016,2052
Digimon Adventure Tri. Part 3: Confession,2016,2053
Digimon Adventure tri. Part 4: Loss,2017,2059
Digimon Adventure tri. Part 5: Coexistence,2017,2062
Digimon Adventure tri. Part 6: Future,2018,2658
Digimon Adventure: Last Evolution Kizuna,2020,2139
Digimon: The Movie,2000,4271
Dinner for Schmucks,2010,3352
Dinosaur,2000,124
Dirty Dancing,1987,2721
Dirty Girl,2010,3196
Dirty Grandpa,,470
Dirty Harry,1971,3281
Disaster Movie,2008,3975
Disenchanted,2022,3789
District 9,2009,2537
Divergent,,658
Divergent Series: Allegiant,,655
Divergent Series: Insurgent,,656
Django Unchained,2012,3024
Do Revenge,2022,3855
DOA: Dead or Alive,2006,3997
Doc Hollywood,1991,2597
Doctor Sleep,2019,2478
Doctor Strange,,1487
Doctor Strange in the Multiverse of Madness,2022,3570
Doctor Who,1996,2540
Dodgeball: A True Underdog Story,2004,2632
Dofus: Book 1 - Julith,2015,4187
Dog,2022,3532
Dog Soldiers,2002,4467
Doggie March,1963,3693
Doghouse,2009,4445
Dogma,,471
Dolittle,2020,1981
Dolphin Tale,,782
Don Jon,2013,2565
Don't Breathe,2016,3120
Don't Breathe 2,2021,3107
Don't Look Up,2021,3174
Don't Worry Darling,2022,3788
Donnie Darko,,438
Doom,2005,2698
Doom: Annihilation,2019,2699
Dora and the Lost City of Gold,2019,3725
Doraemon the Movie: Nobita's Dinosaur,2006,3058
Doraemon the Movie: Nobita's Little Star Wars 2021,2022,3734
Doraemon the Movie: Nobita's New Dinosaur,2020,2941
Doraemon: Nobita and the New Steel Troops: ~Winged Angels~,2011,3882
Dorm Daze,,1555
Dorm Daze 2,,1560
Double Jeopardy,1999,3868
Dr. Jekyll and Mr. Hyde,1920,2577
Dr. No,,1748
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,2147
Dracula,1992,3779
Dracula Untold,,822
Dragon Age: Dawn of the Seeker,2012,2815
Dragon Ball Super: Broly,2018,3063
Dragon Ball Super: Super Hero,2022,3814
Dragon Ball Z: Bardock - The Father of Goku,1990,2042
Dragon Ball Z: Battle of Gods,,261
Dragon Ball Z: Bio-Broly,1994,3069
Dragon Ball Z: Bojack Unbound,,748
Dragon Ball Z: Broly - Second Coming,1994,3067
Dragon Ball Z: Broly - The Legendary Super Saiyan,,747
Dragon Ball Z: Cooler's Revenge,,744
Dragon Ball Z: Fusion Reborn,1995,2044
Dragon Ball Z: Lord Slug,,743
Dragon Ball Z: Resurrection 'F',,221
Dragon Ball Z: Super Android 13,,746
Dragon Ball Z: The History of Trunks,1993,2043
Dragon Ball Z: The Movie - Dead Zone,1989,4091
Dragon Ball Z: The Return of Cooler,,745
Dragon Ball Z: The World's Strongest,,741
Dragon Ball Z: Tree of Might,,742
Dragon Ball Z: Wrath of the Dragon,1995,3387
Dragon Ball: Curse of the Blood Rubies,1986,2977
Dragon Ball: Mystical Adventure,1988,2968
Dragon Ball: Sleeping Beauty in Devil Castle,1987,2978
Dragon Ball: The Path to Power,1996,3643
Dragon Nest: Warriors' Dawn,,193
Dragon Quest: Your Story,2019,2399
Dragon Rider,2020,3029
Dragonball Evolution,2009,3592
Dragonslayer,1981,2963
Dreambuilders,2020,2874
Dreamgirls,2006,2950
Dredd,2012,679
Drifting Home,2022,3712
Drinking Buddies,,472
Drive,2011,3046
Drive Angry,2011,1756
Drive-Away Dolls,2024,4335
Duck Soup,1933,2618
"Dude, Where's My Car?",2000,2955
Dudley Do-Right,1999,1936
Dumb and Dumber,1994,1908
Dumbo,,85
Dumbo,2019,1860
Dune,1984,2445
Dune,2021,3060
Dune: Part Two,2024,4396
Dungeons & Dragons,,1568
Dungeons & Dragons: Honor Among Thieves,2023,3964
Dungeons & Dragons: Wrath of the Dragon God,2005,2429
Dunkirk,,1676
